query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,02/04/2026,22087306,"1,500.00",EXETER PAEDIATRIC I C S LIMITED,373429,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22087653,"22,057.22",PRIOR'S COURT SERVICES LIMITED,375137,326021250,Dedicated Schools Grant,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22079575,"3,900.00",COSMIC (HONITON),103322,684759473,"Transport Operations, Environment and Waste",A44038,Fees,R0640004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22081479,"215,286.91",Exeter College (Exeter and North Devon Colleges Group),6141,125451632,Capital - SEND Schools,C02009,Works,C0660001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22081659,"2,824.00",PENNA PLC,347388,605849719,People and Culture,A44005,Publicity/Advertising,R0472002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22081662,"12,787.30",OPTIMA HEALTH UK,403472,367726459,People and Culture,A44038,Fees,R0303006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082014,708.00,NeuroConnect CIC,382604,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082154,"25,298.03",UNIVERSITY OF BRISTOL,57307,991261800,Inclusion & Learning,A44038,Fees,R0061001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082182,"5,929.17",TORBAY COMMUNITY DEVELPMNT TRUST,340396,290386386,Communities,A44038,Fees,R0536002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082241,"1,700.00",ZEBRA COLLECTIVE CIC,157225,901944631,Mental Health,A44038,Fees,R0256001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082307,"1,344.00",JOHN LIFE ENGINEERING LIMITED,22014,423454219,Highways & Infrastructure Development,A89060,Direct Revenue Funding,R0555002,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082319,"1,520.40",PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082366,"14,242.50",FREDERICK SHERRELL LIMITED,14402,591319333,Capital - Highways,C02011,External Professional Fees,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082448,"3,840.00",PROGRESSION SERVICES LIMITED,390181,439882639,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082450,"10,329.30",MID DEVON DISTRICT COUNCIL,19708,142203912,Transformation & Business Services,A23005,Rates,R0333004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082484,"5,232.78",S C C,161520,313651680,Transformation & Business Services,A45040,IT Software,R0353008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082490,"2,696.00",DODDS SOLICITORS LLP,394172,729928286,"Chief Exec, Legal & Democratic services",A44968,Legal & Conveyancing Charges,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082523,"8,358.50",FREDERICK SHERRELL LIMITED,14402,591319333,Capital - Highways,C02011,External Professional Fees,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082528,"3,840.00",PROGRESSION SERVICES LIMITED,390181,439882639,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22082536,"26,800.66",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,C02009,Works,C0671005,DCC CIS Suppliers
