Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,18/03/2026,22079281," 12,663.00 ",S C C,161520,313651680,Capital ICT - Digital Technology & Business Services,IT Hardware,C04010,C0653001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381083," 13,073.51 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078776," 13,333.33 ",ENCOMPASS SOUTHWEST,25105,,Public Health,"Grants to voluntary, community and social enterprise organisations",A52010,R0316031,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079424," 13,404.70 ",RINGGO LIMITED,275342,636137149,Highways & Infrastructure Development,Fees,A44038,R0556016,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076690," 13,454.64 ",INSPIRE SOUTH WEST,326670,,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22081441," 13,582.60 ",MARINE & CIVIL SOLUTIONS LIMITED,283395,431868383,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0555002,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22076038," 14,000.00 ",CO-LAB EXETER,90202,186186963,Communities,"Grants to voluntary, community and social enterprise organisations",A52010,R0533001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076364," 14,167.44 ",SWATPRO LIMITED,402796,,"Economy, Enterprise and Skills",Fees,A44038,R0546004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22077790," 14,416.50 ",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children's Social Care,Agency Supply Staff,A11005,R0095006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076812," 14,782.32 ",JEREMY BENN ASSOCIATES LIMITED,321667,665300941,"Transport Operations, Environment and Waste",Fees,A44038,R0579007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381011," 15,000.00 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082691," 15,375.00 ",KINGSLEY SCHOOL,223710,479040477,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22078592," 15,500.10 ",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,Works,C02009,C0671005,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22078655," 15,500.10 ",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,Works,C02009,C0671005,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22080523," 15,827.50 ",Corstorphine & Wright Ltd,601232,697044992,"Capital - Economy, Enterprise & Skills",External Professional Fees,C02011,C0648001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381009," 16,000.00 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22077685," 16,165.05 ",NORSE SOUTH WEST LIMITED,279741,785421021,Capital other - Digital Technology & Business Services,External Professional Fees,C02011,C0651001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
